iter	Passed	Remaining
952	121820	6007
953	121969	5881
954	122072	5752
955	122211	5624
956	122318	5496
957	122439	5367
958	122565	5240
959	122739	5114
960	122870	4986
961	123030	4859
962	123165	4732
963	123299	4604
964	123444	4477
965	123588	4349
966	123713	4221
967	123860	4094
968	123983	3966
969	124119	3838
970	124237	3710
971	124369	3582
972	124496	3454
973	124643	3327
974	124768	3199
975	124917	3071
976	125056	2944
977	125192	2816
978	125309	2687
979	125432	2559
980	125533	2431
981	125671	2303
982	125791	2175
983	125936	2047
984	126046	1919
985	126178	1791
986	126286	1663
987	126416	1535
988	126525	1407
989	126662	1279
990	126796	1151
991	126944	1023
992	127053	895
993	127213	767
994	127351	639
995	127468	511
996	127574	383
997	127763	256
998	127873	128
999	128028	0
